stn,date,temp,wdsp,prcp,temperature,wind_speed,precipitation
761220,2020-12-23,56.7,4.7,0.00,56.7,4.7,0.00
761220,2020-12-09,49.9,999.9,0.00,49.9,NULL,0.00
725846,2020-10-26,28.6,5.7,0.00,28.6,5.7,0.00
725846,2020-10-20,47.3,1.0,0.00,47.3,1,0.00
761220,2020-08-17,82.9,999.9,0.00,82.9,NULL,0.00
761220,2020-08-12,86.2,999.9,0.00,86.2,NULL,0.00
725846,2020-07-24,59.0,4.4,0.00,59.0,4.4,0.00
725846,2020-06-14,45.2,3.9,0.00,45.2,3.9,0.00
725846,2020-06-02,53.8,2.2,0.00,53.8,2.2,0.00
761220,2020-05-13,74.3,999.9,0.00,74.3,NULL,0.00
761220,2020-04-17,63.2,999.9,0.00,63.2,NULL,0.00
725846,2020-03-24,33.7,8.3,99.99,33.7,8.3,99.99
761220,2020-03-13,61.2,6.8,0.00,61.2,6.8,0.00
761220,2020-02-25,52.5,3.9,0.00,52.5,3.9,0.00
761220,2020-02-09,61.0,4.9,0.00,61.0,4.9,0.00
761220,2020-01-30,48.8,4.3,0.00,48.8,4.3,0.00
761220,2020-01-28,46.6,999.9,0.00,46.6,NULL,0.00
