station_id,name
0258da92-f770-4acc-b20b-91b78aff791e,"Flatbush Ave & Lincoln Rd"
079b5a90-1d2b-40b2-b1e9-71c075f16b89,"Chauncey St & Howard Ave"
116dbc02-a3c1-4b65-9f73-2a09a2aa1379,"10 Ave & W 14 St"
174bf571-e597-463d-84bc-611c4a13d85e,"Eastern Pkwy & Nostrand Ave"
266c8621-fdea-4a7e-9d35-18ca1684d526,"69 St & 38 Ave"
284b08f2-3d26-4f52-9463-25e4a07c16f7,"Underhill Ave & Pacific St"
285ad3c2-3ffe-45bb-8765-9c20a69641a6,"27 Ave & 3 St"
298d4e45-c6d2-45f1-a07a-11606026a6e4,"W 147 St & Adam Clayton Powell Blvd"
305c221f-4e0b-4a5a-902c-3d1043dfe606,"Newton Rd & 44 St"
3134bce7-0bb9-4a45-9c87-60a8cb681d72,"Central Ave & Woodbine St"
3134c2d4-b090-4eb8-ab44-6f9622098f72,"W 148 St & Amsterdam Ave"
324af152-33ea-48a7-8bb0-ad8b6f31571f,"Picnic Point"
328d778a-7e71-4240-acae-b84f0fdaa5c5,"48 St & 5 Ave"
330ee4e3-29cb-48e5-845f-a8ccf1aa2ce6,"Ditmars Blvd & 43 St"
3371df76-39db-43ab-b3d6-fac0be55311f,"Adams St & 2 St"
344b52b0-73a9-4fe3-9132-23d0502dc0ae,"Broadway & W 160 St"
348c5e65-cbc3-4da6-9856-fc253a0ba546,"E 13 St & 2 Ave"
361dd964-db79-47dd-b044-eac88c735249,"Edgecombe Ave & W 150 St"
372c592e-09d8-400c-9595-2aa3510f39b0,"Central Ave & Himrod St"
398aa734-3893-4dba-a704-57ae8632c4f9,"30 Ave & 47 St"
398ebef6-dcc2-4305-b1d2-47efafdaa85c,"Sterling Pl & Rochester Ave"
403c310e-26d5-4db5-9928-13c38b25053d,"7 Ave & 22 St"
412c1416-d15b-4e6a-9691-da4c3cc0d0d2,"Bleecker St & Crosby St"
454b4a83-d0b1-42a2-8163-261e2a9d6ab9,"Lexington Ave & E 26 St"
454fe70c-1d53-4af2-a9ea-1d4bd9f59799,"Jerome Ave & E 198 St"
457ea5d7-d643-4028-87db-46dee0b81555,"Kingsland Ave & Nassau Ave"
475c44e1-31e3-4c60-b071-af2ca3f7618c,"Prospect Pl & Nostrand Ave"
490ca6cc-c2a2-4838-acf0-4704ed60dc51,"W 47 St & 9 Ave"
498d7e8e-5164-4f26-9ce6-399947d73b1a,"Suydam St & St Nicholas Ave"
514afe43-84d4-4941-8281-75a93c5cd365,"Morris Ave & McClellan St"
514f3dda-4d08-464c-b2d4-5706d400065a,"39 Ave & 45 St"
528ed1e0-75aa-45be-8afe-c3f1c950782f,"Grand Ave & 58 Ave"
533f25a0-514f-456f-9d87-5fdcb4ee42f4,"Summerfield St & Cypress Ave"
537a2f47-26a3-4776-ba9d-e2acd2ffbee1,"City Hall - Washington St & 1 St"
545a32d3-b74c-4dc2-b82c-a6d185dd4666,"Sheridan Ave & E 168 St"
79c4a612-a5df-4814-9e6b-6305da61ebc4,"Inwood Ave & W 170 St"
82b97827-1801-4b7b-b3de-16447a8dd025,"Jefferson Ave & Patchen Ave"
82c85f05-4722-48ae-9f64-0522012eb3c8,"Southern Blvd & E 174 St"
82dd89f6-1e5a-4a8f-8660-13cb64349e94,"Boone Ave & E 172 St"
83a5d761-57d0-4cd6-aa2b-7eb350120d99,"Home St & Westchester Ave"
83d1ff16-ba56-4eae-aa6a-b37b6439db82,"53 St & 5 Ave"
